"A-1 NUMBER OF VILLAGES, TOWNS, HOUSEHOLDS, POPULATION AND AREA",,,,,,,,,,,,,,
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,
01,006,00020,SUB-DISTRICT,Thanamandi,Rural,32,0,0,"12,673","62,283","32,373","29,910",144.51,431
01,006,00020,SUB-DISTRICT,Thanamandi,Urban,0,0,1,971,"5,490","3,099","2,391",4.18,"1,313"
01,006,00021,SUB-DISTRICT,Darhal,Total,11,1,0,"7,612","36,227","19,121","17,106",80.30,451
01,006,00021,SUB-DISTRICT,Darhal,Rural,11,1,0,"7,612","36,227","19,121","17,106",80.30,451
01,006,00021,SUB-DISTRICT,Darhal,Urban,0,0,0,0,0,0,0,0.00,0
01,006,00022,SUB-DISTRICT,Rajauri,Total,118,3,1,"36,640","189,067","103,307","85,760",593.49,319
01,006,00022,SUB-DISTRICT,Rajauri,Rural,118,3,0,"32,276","159,581","84,130","75,451",580.60,275
01,006,00022,SUB-DISTRICT,Rajauri,Urban,0,0,1,"4,364","29,486","19,177","10,309",12.89,"2,288"
01,006,00023,SUB-DISTRICT,Budhal,Total,51,1,0,"23,676","123,050","64,990","58,060",468.25,263
01,006,00023,SUB-DISTRICT,Budhal,Rural,51,1,0,"23,676","123,050","64,990","58,060",468.25,263
01,006,00023,SUB-DISTRICT,Budhal,Urban,0,0,0,0,0,0,0,0.00,0
01,006,00024,SUB-DISTRICT,Kalakote,Total,68,1,0,"16,243","72,667","37,864","34,803",412.96,176
01,006,00024,SUB-DISTRICT,Kalakote,Rural,68,1,0,"16,243","72,667","37,864","34,803",412.96,176
01,006,00024,SUB-DISTRICT,Kalakote,Urban,0,0,0,0,0,0,0,0.00,0
01,006,00025,SUB-DISTRICT,Nowshehra,Total,52,4,1,"18,323","89,416","50,146","39,270",482.03,185
